,filesize_bytes,aspect_ratio,channels,metadata_blocks,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,brightness_std,contrast,mean_hue,std_hue,mean_saturation,mean_value,lab_L,lab_a,lab_b,gray_entropy,clip_low_frac,clip_high_frac,hue_entropy,colorfulness,sharpness_lapvar,edge_density,symmetry_h,symmetry_v,spatial_entropy,pattern_density,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniformity,gabor_mean,gabor_std,fft_highfreq_ratio
brightness,-0.056728952897690116,-0.05990265162501867,,0.8496181881346314,0.8560004333421095,0.9769890999133588,0.939165252912743,0.5070001602141158,0.6085853721985556,0.6974080990082214,1.0,0.1967262645050876,0.6237569598385587,-0.5382877927457278,0.19904976444969727,-0.8419356326062742,0.8982317219001521,0.9953108937741886,-0.6477175197535484,-0.15726401816984883,0.3344485554621041,0.03092862327995614,0.7547771331193508,0.8086798579981442,-0.7466489719944605,0.7456433289596882,0.7615948337590868,-0.5719578297625743,-0.7038755681058662,0.6519462121872355,0.7615948337590868,0.7476700726669481,-0.719266381115397,-0.2638545869267223,-0.7986440360579659,-0.605602655540497,0.6210906417394995,0.7694214919636182,0.56783068372234,0.6896593355227363
brightness_std,-0.28820660133742604,0.23434831820338142,,0.4894738116267723,0.17931427873468786,0.12024681218115814,0.2513817196298758,0.7364135424654442,0.74877557164172,0.7240832814620038,0.1967262645050876,1.0,0.748538298555986,0.09157215278450914,0.42890613020393725,0.02960543886389624,0.3223012003906322,0.16371417225010373,0.12604585783006736,-0.22588511300593342,0.497037471203781,-0.04277107571169,0.591667930703112,0.36412971520805726,0.039700300311073855,0.6000935551564038,0.5815013068165987,-0.6414818929273204,-0.6885627325003248,0.3461276280863209,0.5815013068165987,0.635350735295286,-0.6265258914602077,-0.24359656348618366,-0.4103373489355361,-0.27729634869556974,0.26108106118951757,0.6189248170437752,0.5003452566739056,0.2029360717646366
contrast,-0.23452771361478877,0.16424772903455442,,0.8422319636818187,0.5022612894574394,0.6154992476116591,0.6045566937727087,0.9196134166007054,0.99319362499879,0.940129421114963,0.6237569598385587,0.748538298555986,1.0,-0.34408654452387233,0.5460604552991672,-0.6000454390063517,0.4817374516356896,0.6041920599714131,-0.45837381933752525,-0.14949544007962517,0.5967912403849802,-0.02240728189371757,0.8587724087011942,0.787140329809014,-0.5183057515434132,0.8774641310145661,0.8665856179412166,-0.8710352443724911,-0.9536411384297031,0.6036720534598626,0.8665856179412166,0.9110120240179864,-0.8887430888553458,-0.32832989731592677,-0.717926709254086,-0.5445434361428805,0.5467086398124248,0.9078387154743046,0.70402441763616,0.482985848211939
mean_hue,-0.013468685945533262,0.0995812276868074,,-0.42803185592807014,-0.3279892588814705,-0.6517679772755032,-0.4791710804267106,-0.37246211461807904,-0.3021855117387411,-0.40030119023975785,-0.5382877927457278,0.09157215278450914,-0.34408654452387233,1.0,0.012009043353362205,0.6302749133653996,-0.30887683545800176,-0.5778664355164489,0.7780802835135397,-0.03648859963434598,-0.37328100849453755,-0.1067006141234736,-0.3541887494253565,-0.40005472914931756,0.6355712710411962,-0.3298027397737229,-0.3455820683926942,0.29732109207701635,0.36582504054707965,-0.3099452473459259,-0.3455820683926942,-0.3451482998193657,0.33903755038918626,0.3238368240741375,0.27684314841529445,0.4112853202851133,-0.40244412456623196,-0.34980881989758483,-0.23896658238361854,-0.25213851283402905
std_hue,-0.18230401048348172,0.03181442100381359,,0.4250648040512657,0.3011581235360079,0.17278233150687736,0.10590816273898536,0.5198112082782245,0.5570887807734861,0.3808722287520262,0.19904976444969727,0.42890613020393725,0.5460604552991672,0.012009043353362205,1.0,-0.2518407488270037,0.10699068796066938,0.188074093956287,-0.047273696127895136,0.20035764372308057,0.3541239569336019,-0.21675990867007155,0.5305134092377788,0.5299518854651771,-0.21060796548550684,0.5444251281365562,0.5719340770434871,-0.557088014657453,-0.550840479764117,0.44225426872701656,0.5719340770434871,0.548376111886555,-0.5261059641470742,-0.1762066769338846,-0.4754574031846648,-0.26467640415876026,0.2626430165334162,0.5502802114187983,0.42372460416591656,0.242577979955106
mean_saturation,0.03667896885873612,0.06326045035863034,,-0.7591351335720498,-0.6635861515442412,-0.9051885983827942,-0.7495653308756367,-0.5312097608537322,-0.5697282264133968,-0.6003477846324714,-0.8419356326062742,0.02960543886389624,-0.6000454390063517,0.6302749133653996,-0.2518407488270037,1.0,-0.5246628173907646,-0.8486180699837665,0.8633917211723219,0.009159327361995597,-0.31111008107137345,-0.017727135319782504,-0.6644423614345633,-0.8038150964666078,0.9081639629820173,-0.6629789589637259,-0.6702770530642518,0.5420679320661244,0.6397175926095836,-0.5371860850431467,-0.6702770530642518,-0.6730946058338575,0.6521644238886619,0.2617026204569043,0.6773053793033962,0.5156592549650347,-0.5436127730969066,-0.6893395336525917,-0.5039021487208714,-0.5983406506727855
mean_value,-0.0568762201311038,-0.049421789795263675,,0.712363500415,0.8214879377679436,0.8075892111072417,0.8750777533244988,0.3564001189853864,0.48094773709455113,0.6015937351257569,0.8982317219001521,0.3223012003906322,0.4817374516356896,-0.30887683545800176,0.10699068796066938,-0.5246628173907646,1.0,0.8841166650479485,-0.31009787911164344,-0.23809981781712505,0.2587390641967461,0.02991983363305079,0.6432129437736868,0.6221277168734901,-0.4474706045571202,0.6297036429703139,0.6484606955038527,-0.4505588476061905,-0.5795178587490555,0.5772583163744344,0.6484606955038527,0.6248062168633439,-0.5962453033584502,-0.19589803348628526,-0.7070843329913004,-0.5214474338612294,0.5227430713669431,0.6467888789417312,0.47853854193719136,0.5967782550474111
lab_L,-0.03504290936141349,-0.06396402693750369,,0.832071576993083,0.8694203622412913,0.9819886860602096,0.910909461219415,0.48796404875068966,0.5880061468341587,0.6808526271446105,0.9953108937741886,0.16371417225010373,0.6041920599714131,-0.5778664355164489,0.188074093956287,-0.8486180699837665,0.8841166650479485,1.0,-0.6711730805752649,-0.08231017987393267,0.34054807658408365,0.04416408437853743,0.7309987075401209,0.7926253970562441,-0.7623465383637554,0.7217359519247721,0.743435240315608,-0.5546758306860563,-0.6842911663729582,0.6510895048563956,0.743435240315608,0.7242143673083162,-0.7023407630499255,-0.27350614475060137,-0.7749072674523337,-0.6069894106623496,0.6195050311411541,0.7470950763565452,0.5493900264474675,0.677129764645868
lab_a,-0.02051382662972041,0.04673697947145535,,-0.5883780659276862,-0.31868877586407085,-0.7924703865824133,-0.6282633173417597,-0.497615957570515,-0.4106925136667343,-0.49072498487447386,-0.6477175197535484,0.12604585783006736,-0.45837381933752525,0.7780802835135397,-0.047273696127895136,0.8633917211723219,-0.31009787911164344,-0.6711730805752649,1.0,0.1147923130753163,-0.389213072073286,-0.06077040981711653,-0.48893013369783955,-0.6590694360245798,0.7505235915228707,-0.49088622753663874,-0.5083570333083064,0.4238733730617986,0.4902343631101879,-0.38896245519470524,-0.5083570333083064,-0.5025630148799295,0.5213257341244983,0.38774202619752535,0.4981922431533124,0.35202376905788507,-0.37649308458245484,-0.5210500120378452,-0.3679910194692907,-0.4926730155380742
lab_b,0.07866789434163302,-0.008727474782395871,,-0.18846675617061673,0.27254767165963145,-0.14004737644341061,-0.4848727587531441,-0.21360160628768368,-0.14054005506365191,-0.2265580103755215,-0.15726401816984883,-0.22588511300593342,-0.14949544007962517,-0.03648859963434598,0.20035764372308057,0.009159327361995597,-0.23809981781712505,-0.08231017987393267,0.1147923130753163,1.0,-0.1383397723193031,0.07368095280924856,-0.17551391815770256,-0.20886208216132904,-0.15959057501897325,-0.18368002899013355,-0.15713742913478249,0.1485979488652085,0.16835928559424948,-0.025628277573325094,-0.15713742913478249,-0.18307840825910926,0.1667244140933456,0.1543767548877818,0.21053774922121443,-0.04405746477423303,0.0156066193481415,-0.18711373557144356,-0.13247176747264508,-0.18085534319656996
gray_entropy,0.21061264074820726,0.14352812012909877,,0.514646687403354,0.16976999501628254,0.3765221359210836,0.3544479916830862,0.6337332665360913,0.5879291612893233,0.5957730935344319,0.3344485554621041,0.497037471203781,0.5967912403849802,-0.37328100849453755,0.3541239569336019,-0.31111008107137345,0.2587390641967461,0.34054807658408365,-0.389213072073286,-0.1383397723193031,1.0,-0.04581354177810605,0.3645470922879509,0.5746585668017743,-0.16268300057820806,0.49192060903629287,0.6174952283018594,-0.7041424446129196,-0.6219042479333508,0.5980134264007065,0.6174952283018594,0.5279041526035712,-0.664040839507849,-0.9037547675554968,-0.43986534940847205,-0.15581928001026474,0.15842864571869963,0.5541115794692916,0.37667322511978196,0.3869961146694228
clip_low_frac,-0.017951118313116892,0.006095863000907699,,-0.03754830270521636,0.03798389495678495,0.046372288614896576,0.0030157324324882042,-0.008313982720316682,-0.028044330814047853,-0.011938686604422028,0.03092862327995614,-0.04277107571169,-0.02240728189371757,-0.1067006141234736,-0.21675990867007155,-0.017727135319782504,0.02991983363305079,0.04416408437853743,-0.06077040981711653,0.07368095280924856,-0.04581354177810605,1.0,-0.09228618015573574,-0.10273919403487204,-0.003018587001011154,-0.09539408886717315,-0.10097398304246241,0.07037321482769902,0.03680822393797451,-0.07222131103420697,-0.10097398304246241,-0.09369029152972672,0.10484765938157004,0.06690662820188384,0.11167785430741511,0.06448077241044425,-0.08063606955112711,-0.09625391510796148,-0.07626342688560778,-0.17824497951430304
clip_high_frac,-0.4010224223365679,0.08944769567963644,,0.8941866454282352,0.6266493162442086,0.7346650277014057,0.7271506687811465,0.8239156034733952,0.8309576687199661,0.8237821384633628,0.7547771331193508,0.591667930703112,0.8587724087011942,-0.3541887494253565,0.5305134092377788,-0.6644423614345633,0.6432129437736868,0.7309987075401209,-0.48893013369783955,-0.17551391815770256,0.3645470922879509,-0.09228618015573574,1.0,0.7871673063252936,-0.6438910706929736,0.9303912065229493,0.9011057538443109,-0.7471998822607414,-0.8872699249071231,0.5352505645505997,0.9011057538443109,0.9398560249926369,-0.8820632104770335,-0.180368078361774,-0.8580688080157651,-0.6092352250541738,0.6143078327159244,0.9420250330771559,0.7193293319475773,0.6342340740922688
hue_entropy,-0.036525623918584424,0.08354395177156694,,0.8789924313463061,0.6096472330912488,0.8212818738314794,0.7923313150657628,0.7311040654755966,0.7741006042513658,0.7717721332865947,0.8086798579981442,0.36412971520805726,0.787140329809014,-0.40005472914931756,0.5299518854651771,-0.8038150964666078,0.6221277168734901,0.7926253970562441,-0.6590694360245798,-0.20886208216132904,0.5746585668017743,-0.10273919403487204,0.7871673063252936,1.0,-0.6197371989113458,0.8055092288503208,0.8669225831031037,-0.7728764581581155,-0.8231979851146345,0.7692286755033747,0.8669225831031037,0.8267393599609659,-0.8532173278005244,-0.4520825176253854,-0.8208546247061714,-0.5629849436688661,0.5897871860500353,0.8535100908095016,0.6136891433898541,0.6574320716246281
colorfulness,0.23963020701976215,0.09076673250955504,,-0.6711612354054786,-0.6650281445173947,-0.8029815842743785,-0.6037716185365918,-0.48229599822894303,-0.4679993911185285,-0.5088077387536788,-0.7466489719944605,0.039700300311073855,-0.5183057515434132,0.6355712710411962,-0.21060796548550684,0.9081639629820173,-0.4474706045571202,-0.7623465383637554,0.7505235915228707,-0.15959057501897325,-0.16268300057820806,-0.003018587001011154,-0.6438910706929736,-0.6197371989113458,1.0,-0.6163430147931674,-0.57734456483665,0.45211537791198236,0.5586503370734733,-0.3854962295406368,-0.57734456483665,-0.6282579132078407,0.5668881331030476,0.11955231841370167,0.5921246161264803,0.4972638609089531,-0.511365037567098,-0.6229214500028957,-0.4640522733317384,-0.5217290280529009
sharpness_lapvar,-0.29962190841937947,0.09467716071567182,,0.8939501641621493,0.614178196593858,0.7264547201599485,0.721516461442894,0.8246047201887707,0.8576233508934008,0.8402643749532667,0.7456433289596882,0.6000935551564038,0.8774641310145661,-0.3298027397737229,0.5444251281365562,-0.6629789589637259,0.6297036429703139,0.7217359519247721,-0.49088622753663874,-0.18368002899013355,0.49192060903629287,-0.09539408886717315,0.9303912065229493,0.8055092288503208,-0.6163430147931674,1.0,0.9358100211040934,-0.8084428966574062,-0.9194859985130809,0.6007166616964621,0.9358100211040934,0.9887022211272325,-0.924583676747992,-0.3308435717673246,-0.9185591002556345,-0.5400710165221148,0.5476939454980694,0.9729806043181477,0.7948781595378593,0.7354402030744004
edge_density,-0.16768510864947045,0.12089373594229924,,0.9193833785850711,0.6338905260655627,0.7452395657033876,0.7283442026668117,0.818415872858235,0.8488724299652275,0.8426680173688501,0.7615948337590868,0.5815013068165987,0.8665856179412166,-0.3455820683926942,0.5719340770434871,-0.6702770530642518,0.6484606955038527,0.743435240315608,-0.5083570333083064,-0.15713742913478249,0.6174952283018594,-0.10097398304246241,0.9011057538443109,0.8669225831031037,-0.57734456483665,0.9358100211040934,1.0,-0.8658558324497179,-0.9213955443494749,0.7062645599471532,1.0,0.9511809797542371,-0.981222309979708,-0.4798054853120162,-0.9335534189989751,-0.5375301332602282,0.5528142073249975,0.9729970754909448,0.7202210128100766,0.7062495702753127
symmetry_h,0.20190250853323832,-0.14994157006717937,,-0.777389636747033,-0.450947180561453,-0.5674258366963524,-0.5587892737166237,-0.8325446300343122,-0.8598581042164005,-0.8019395435746421,-0.5719578297625743,-0.6414818929273204,-0.8710352443724911,0.29732109207701635,-0.557088014657453,0.5420679320661244,-0.4505588476061905,-0.5546758306860563,0.4238733730617986,0.1485979488652085,-0.7041424446129196,0.07037321482769902,-0.7471998822607414,-0.7728764581581155,0.45211537791198236,-0.8084428966574062,-0.8658558324497179,1.0,0.8825511122202019,-0.6203979459773886,-0.8658558324497175,-0.852985990254821,0.8884256033695012,0.5261354631410716,0.7444624374928426,0.4523934808241592,-0.4615549317711796,-0.8666041287192255,-0.5768318236934921,-0.4822126887543234
symmetry_v,0.21369166059376837,-0.13123106453603833,,-0.8868634785590508,-0.5718277426737539,-0.691792939309756,-0.6810931453920575,-0.8844780476779605,-0.9416762299042418,-0.9123922875181043,-0.7038755681058662,-0.6885627325003248,-0.9536411384297031,0.36582504054707965,-0.550840479764117,0.6397175926095836,-0.5795178587490555,-0.6842911663729582,0.4902343631101879,0.16835928559424948,-0.6219042479333508,0.03680822393797451,-0.8872699249071231,-0.8231979851146345,0.5586503370734733,-0.9194859985130809,-0.9213955443494749,0.8825511122202019,1.0,-0.6458408387009198,-0.9213955443494751,-0.945873310213012,0.932010167839397,0.41060278148279045,0.8203852201003151,0.49078004942480574,-0.5005264557363571,-0.9510463667087025,-0.7140793277228518,-0.5911363334146014
spatial_entropy,0.17389024715545015,0.06355736282797096,,0.780232409253412,0.6021172768868458,0.6254881367216604,0.5893319039448539,0.5199892872402007,0.610998836387535,0.6038571811924257,0.6519462121872355,0.3461276280863209,0.6036720534598626,-0.3099452473459259,0.44225426872701656,-0.5371860850431467,0.5772583163744344,0.6510895048563956,-0.38896245519470524,-0.025628277573325094,0.5980134264007065,-0.07222131103420697,0.5352505645505997,0.7692286755033747,-0.3854962295406368,0.6007166616964621,0.7062645599471532,-0.6203979459773886,-0.6458408387009198,1.0,0.7062645599471532,0.6115693206391808,-0.6770826131659813,-0.4826631305013392,-0.6520438136102269,-0.4786170493756122,0.5276212001834166,0.6387989131625375,0.4632421476708103,0.5989252650441554
pattern_density,-0.16768510864947045,0.12089373594229924,,0.9193833785850711,0.6338905260655627,0.7452395657033876,0.7283442026668117,0.818415872858235,0.8488724299652275,0.8426680173688501,0.7615948337590868,0.5815013068165987,0.8665856179412166,-0.3455820683926942,0.5719340770434871,-0.6702770530642518,0.6484606955038527,0.743435240315608,-0.5083570333083064,-0.15713742913478249,0.6174952283018594,-0.10097398304246241,0.9011057538443109,0.8669225831031037,-0.57734456483665,0.9358100211040934,1.0,-0.8658558324497175,-0.9213955443494751,0.7062645599471532,1.0,0.9511809797542371,-0.981222309979708,-0.4798054853120162,-0.9335534189989751,-0.5375301332602282,0.5528142073249975,0.9729970754909448,0.7202210128100766,0.7062495702753127
glcm_contrast,-0.3178098478044242,0.09786803335891871,,0.9109531636841091,0.6124855647737584,0.7310130880604337,0.7234409390350462,0.8643435767508549,0.8884022391258616,0.8725454350337107,0.7476700726669481,0.635350735295286,0.9110120240179864,-0.3451482998193657,0.548376111886555,-0.6730946058338575,0.6248062168633439,0.7242143673083162,-0.5025630148799295,-0.18307840825910926,0.5279041526035712,-0.09369029152972672,0.9398560249926369,0.8267393599609659,-0.6282579132078407,0.9887022211272325,0.9511809797542371,-0.852985990254821,-0.945873310213012,0.6115693206391808,0.9511809797542371,1.0,-0.9482052426686152,-0.3533228779012582,-0.9041728242089949,-0.5600067364119812,0.5652889012701129,0.9906302559704397,0.7819882940319423,0.68759223391264
glcm_homogeneity,0.17347428135187642,-0.11121572073595472,,-0.9067134620433358,-0.5751256237304962,-0.7144467656892575,-0.6954117965676178,-0.8604567760503129,-0.8650948892239098,-0.8650732501309142,-0.719266381115397,-0.6265258914602077,-0.8887430888553458,0.33903755038918626,-0.5261059641470742,0.6521644238886619,-0.5962453033584502,-0.7023407630499255,0.5213257341244983,0.1667244140933456,-0.664040839507849,0.10484765938157004,-0.8820632104770335,-0.8532173278005244,0.5668881331030476,-0.924583676747992,-0.981222309979708,0.8884256033695012,0.932010167839397,-0.6770826131659813,-0.981222309979708,-0.9482052426686152,1.0,0.5377614503435005,0.9025570710940855,0.513858829873071,-0.5359770376141377,-0.9680800767975979,-0.7112174640226009,-0.7026823142807704
glcm_energy,-0.34396210284222134,-0.066506146320423,,-0.3684914085410931,-0.0787161176203453,-0.32252073160149747,-0.29677881404173073,-0.41127356819759736,-0.3084540971458626,-0.36203112997069004,-0.2638545869267223,-0.24359656348618366,-0.32832989731592677,0.3238368240741375,-0.1762066769338846,0.2617026204569043,-0.19589803348628526,-0.27350614475060137,0.38774202619752535,0.1543767548877818,-0.9037547675554968,0.06690662820188384,-0.180368078361774,-0.4520825176253854,0.11955231841370167,-0.3308435717673246,-0.4798054853120162,0.5261354631410716,0.41060278148279045,-0.4826631305013392,-0.4798054853120162,-0.3533228779012582,0.5377614503435005,1.0,0.3837992398084432,-0.016674315662470754,-0.009159645832777674,-0.38963696444681944,-0.22496489498796696,-0.44211818638288736
glcm_correlation,0.17366107769071107,-0.0543945109474705,,-0.8805805848594689,-0.6612249399424195,-0.7713781443257527,-0.7771368385456974,-0.665101145264097,-0.6995630645123062,-0.7055238889603705,-0.7986440360579659,-0.4103373489355361,-0.717926709254086,0.27684314841529445,-0.4754574031846648,0.6773053793033962,-0.7070843329913004,-0.7749072674523337,0.4981922431533124,0.21053774922121443,-0.43986534940847205,0.11167785430741511,-0.8580688080157651,-0.8208546247061714,0.5921246161264803,-0.9185591002556345,-0.9335534189989751,0.7444624374928426,0.8203852201003151,-0.6520438136102269,-0.9335534189989751,-0.9041728242089949,0.9025570710940855,0.3837992398084432,1.0,0.4882186345441835,-0.5161312065733289,-0.9224697809587389,-0.7053700460283224,-0.8192139859492924
lbp_entropy,0.22387599805413003,-0.006194011758174678,,-0.6217613910090749,-0.5943472416376706,-0.5781268883171828,-0.5226861876737421,-0.46005574239986735,-0.5365123285836072,-0.5376426758791008,-0.605602655540497,-0.27729634869556974,-0.5445434361428805,0.4112853202851133,-0.26467640415876026,0.5156592549650347,-0.5214474338612294,-0.6069894106623496,0.35202376905788507,-0.04405746477423303,-0.15581928001026474,0.06448077241044425,-0.6092352250541738,-0.5629849436688661,0.4972638609089531,-0.5400710165221148,-0.5375301332602282,0.4523934808241592,0.49078004942480574,-0.4786170493756122,-0.5375301332602282,-0.5600067364119812,0.513858829873071,-0.016674315662470754,0.4882186345441835,1.0,-0.9826211032439294,-0.5549336689925807,-0.4414367090238839,-0.30311715188250804
lbp_uniformity,-0.18732787234920023,-0.006096140912719829,,0.6580376334415838,0.5942146065997473,0.5952676963066486,0.5457505109768911,0.46111780645776096,0.5386153365175781,0.5386159396499282,0.6210906417394995,0.26108106118951757,0.5467086398124248,-0.40244412456623196,0.2626430165334162,-0.5436127730969066,0.5227430713669431,0.6195050311411541,-0.37649308458245484,0.0156066193481415,0.15842864571869963,-0.08063606955112711,0.6143078327159244,0.5897871860500353,-0.511365037567098,0.5476939454980694,0.5528142073249975,-0.4615549317711796,-0.5005264557363571,0.5276212001834166,0.5528142073249975,0.5652889012701129,-0.5359770376141377,-0.009159645832777674,-0.5161312065733289,-0.9826211032439294,1.0,0.565616761779769,0.4281450282638868,0.36336038440050916
