instance_id,filename,rel_path,motif_name,motif_folder,all_motifs_dir,origin_images,Source Workshop,year_collected,image_type,image_resolution,color_profile,annotator_initials
28,GunungRinggit_00029.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00029.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
29,GunungRinggit_00030.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00030.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
32,GunungRinggit_00033.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00033.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
33,GunungRinggit_00034.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00034.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
35,GunungRinggit_00036.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00036.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
37,GunungRinggit_00038.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00038.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
38,GunungRinggit_00039.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00039.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
41,GunungRinggit_00042.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00042.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
42,GunungRinggit_00043.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00043.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
44,GunungRinggit_00045.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00045.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
46,GunungRinggit_00047.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00047.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
50,GunungRinggit_00051.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00051.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
51,GunungRinggit_00052.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00052.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
54,GunungRinggit_00055.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00055.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
55,GunungRinggit_00056.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00056.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
57,GunungRinggit_00058.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00058.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
58,GunungRinggit_00059.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00059.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
62,GunungRinggit_00063.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00063.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
63,GunungRinggit_00064.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00064.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
64,GunungRinggit_00065.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00065.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
65,GunungRinggit_00066.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00066.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
71,GunungRinggit_00072.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00072.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
72,GunungRinggit_00073.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00073.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
74,GunungRinggit_00075.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00075.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
75,GunungRinggit_00076.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00076.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
76,GunungRinggit_00077.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00077.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
78,GunungRinggit_00079.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00079.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
80,GunungRinggit_00081.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00081.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),"Temple, Lantern & Dragon with Bledak Background.jpg",Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
81,GunungRinggit_00082.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00082.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
82,GunungRinggit_00083.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00083.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
83,GunungRinggit_00084.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00084.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
88,GunungRinggit_00089.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00089.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
92,GunungRinggit_00093.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00093.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
93,GunungRinggit_00094.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00094.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
94,GunungRinggit_00095.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00095.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
95,GunungRinggit_00096.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00096.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
98,GunungRinggit_00099.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00099.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
99,GunungRinggit_00100.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00100.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
100,GunungRinggit_00101.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00101.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
102,GunungRinggit_00103.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00103.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
103,GunungRinggit_00104.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00104.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
105,GunungRinggit_00106.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00106.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
106,GunungRinggit_00107.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00107.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
107,GunungRinggit_00108.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00108.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
111,GunungRinggit_00112.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00112.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
115,GunungRinggit_00116.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00116.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
117,GunungRinggit_00118.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00118.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
118,GunungRinggit_00119.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00119.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
119,GunungRinggit_00120.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00120.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
120,GunungRinggit_00121.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00121.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
121,GunungRinggit_00122.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00122.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
122,GunungRinggit_00123.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00123.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
123,GunungRinggit_00124.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00124.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
125,GunungRinggit_00126.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00126.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Blue Bouquet.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
126,GunungRinggit_00127.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00127.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
128,GunungRinggit_00129.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00129.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
130,GunungRinggit_00131.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00131.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
132,GunungRinggit_00133.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00133.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
135,GunungRinggit_00136.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00136.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Peacocks.jpg,Lumintu Batik,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
141,GunungRinggit_00142.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00142.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
146,GunungRinggit_00147.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00147.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
147,GunungRinggit_00148.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00148.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
148,GunungRinggit_00149.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00149.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
150,GunungRinggit_00151.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00151.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
152,GunungRinggit_00153.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00153.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
156,GunungRinggit_00157.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00157.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 1.jpg,Pesona Canting,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
159,GunungRinggit_00160.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00160.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
162,GunungRinggit_00163.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00163.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
163,GunungRinggit_00164.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00164.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
164,GunungRinggit_00165.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00165.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
167,GunungRinggit_00168.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00168.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
168,GunungRinggit_00169.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00169.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
169,GunungRinggit_00170.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00170.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Isen Cloth 2.jpg,Pusaka Beruang,2022,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
171,GunungRinggit_00172.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00172.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
